entity,left,right,log_ratio
zot,3,1,1
koh lanta,3,1,1
pffffff,1,3,-1
roumanie 🇷🇴,2,5,-1
nrj 12,3,1,1
biolabs,1,3,-1
cerfia,4,9,-1
🇽,1,3,-1
cheikh ali,3,1,1
🤣😂😂,1,3,-1
xenia fedorova,1,3,-1
b. retailleau,1,3,-1
stephane,3,1,1
🤣😂🤣😂,2,5,-1
moselle,4,9,-1
imo,3,1,1
sapin ii,1,3,-1
bozo,1,3,-1
alpes,21,10,1
mongolie,3,1,1
berne,2,5,-1
istanbul,19,9,1
incha allahou ta3ala,1,3,-1
teamom mercatom,3,1,1
mcgregor,1,3,-1
hector,1,3,-1
xbox,9,4,1
vencorex arkema,3,1,1
états unies,3,1,1
alexis corbière,1,3,-1
jack lang,6,13,-1
pauline,5,2,1
hicham,3,1,1
mongolien,1,3,-1
xavier driencourt,2,5,-1
rené girard,1,3,-1
jonathan glazer,3,1,1
expliquez,1,3,-1
😤😤,2,5,-1
wolfs,1,3,-1
jesuischarlie,3,1,1
fcn,1,3,-1
pierre bourdieu,3,1,1
u.s,2,5,-1
musée du louvre,5,2,1
andré,3,1,1
nahel,2,5,-1
mars,1,3,-1
béziers,9,4,1
🤷🏻‍♀️,5,2,1
nord,1,3,-1
rochefort,1,3,-1
yann barthes,1,3,-1
françois-xavier bellamy,1,3,-1
ça :),1,3,-1
twitter !,1,3,-1
pierre lellouche,1,3,-1
sylvia bongo,1,3,-1
george simion,1,3,-1
mcdonald’,2,5,-1
cambrai,1,3,-1
craonne,3,1,1
fabrice eboué,1,3,-1
serge halimi,3,1,1
péguy,1,3,-1
le seigneur des anneaux,2,5,-1
madame aubry,1,3,-1
attisez,5,2,1
la blanche,1,3,-1
allez hop,1,3,-1
enfer,1,3,-1
johnson,1,3,-1
chevènement,1,3,-1
léo ferré,1,3,-1
saddam hussein,3,7,-1
edward snowden,1,3,-1
béatrice rosen,1,3,-1
st tropez,1,3,-1
🇫🇷🇫🇷🇫🇷,2,5,-1
&lt,3,1,1
marguerite,9,4,1
moix,3,1,1
banque mondiale,3,7,-1
saakachvili,3,1,1
en bretagne,1,3,-1
👀👀👀,3,1,1
alexandre benalla,3,1,1
europe unie,1,3,-1
🇫🇷🇫🇷,1,3,-1
el hamdoulillah,3,1,1
vod,3,1,1
benyamin netanyahou,3,1,1
rima hamass,1,3,-1
saint valentin,3,1,1
blade runner,3,1,1
sud,1,3,-1
h.,1,3,-1
albanie,11,5,1
bah désolé,1,3,-1
grosse force,3,1,1
rael,3,1,1
tko,3,1,1
luna,1,3,-1
boris vian,5,2,1
club france,3,1,1
lambo,3,1,1
haddad,3,1,1
ben laden,3,7,-1
bah ouais,11,5,1
victoria,3,1,1
nantais,7,3,1
st michel,3,1,1
🎃,3,1,1
nouveauxogm ✊,3,1,1
begaudeau,1,3,-1
danielle simonnet,1,3,-1
mr zemmour,1,3,-1
brigitte !,1,3,-1
du louvre,3,1,1
gérald,2,5,-1
l algérie,3,1,1
!!,2,5,-1
ghebali,1,3,-1
togolais,1,3,-1
steph,3,1,1
cergy,3,1,1
tpmp !,3,1,1
🙏🥰,1,3,-1
yes !,9,4,1
incel,5,2,1
boy,1,3,-1
☀️,1,3,-1
bernard henri-lévy,3,1,1
🐝,5,2,1
low,3,1,1
collège stanislas,3,1,1
kim,1,3,-1
brice oligui nguema,1,3,-1
meudon,1,3,-1
cio,3,1,1
madagascar,5,11,-1
doubs,4,9,-1
pokémon,3,1,1
a3,5,2,1
kivu,3,1,1
jap,3,1,1
groenlandais,3,1,1
bernard arnault,49,24,1
bellamy,1,3,-1
deuxième guerre mondiale,2,5,-1
agencesbidonsprdistribuerdspostesauxpolitiques&amp;proches(ifrap,3,1,1
champigny-sur-marne,3,1,1
powell,1,3,-1
berry,1,3,-1
alsace-moselle,1,3,-1
trump !,3,1,1
hervé,3,1,1
cléopâtre,1,3,-1
la dame,5,2,1
😮‍💨😮‍💨😮‍💨,3,1,1
basta!,3,1,1
terre sainte,3,7,-1
agnès jaoui,3,1,1
legifrance,3,1,1
jmt,3,1,1
hezbollah,1,3,-1
bourse de paris,3,1,1
pacho,3,1,1
sncf !,3,1,1
bach,3,7,-1
palais de l’élysée,1,3,-1
😘,1,3,-1
❓❓❓,1,3,-1
michel collon,1,3,-1
fig,1,3,-1
marc bloch,5,2,1
m. trump,5,2,1
les gars,5,2,1
hapsatou,3,1,1
philippe séguin,1,3,-1
rilke,3,1,1
tunis,11,5,1
👇👇👇,5,2,1
j´ai,3,1,1
✌🏻,3,1,1
la courneuve,4,9,-1
gandhi,1,3,-1
louise neyton,1,3,-1
taha bouhafs,3,1,1
zambie,3,1,1
pompidou,10,21,-1
nyt,3,1,1
boulogne,13,6,1
tu t,3,1,1
mazan,3,1,1
jacques sapir,3,7,-1
rip 🙏,1,3,-1
! ça,5,2,1
fcfa,3,1,1
e,3,1,1
bfm tv,10,21,-1
bernard hayot,3,1,1
d'italie,1,3,-1
maupassant,3,1,1
vierzon,1,3,-1
ilan halimi,1,3,-1
kentucky,3,1,1
amin,3,1,1
nouvellecalédonie,1,3,-1
netanyaou,5,2,1
alain delon,3,7,-1
merci mr,2,5,-1
vaxx,1,3,-1
psychopathe,2,5,-1
aid mubarak,3,1,1
sudradio,2,5,-1
françoise hardy,3,1,1
leroy merlin,1,3,-1
🗳️,3,1,1
ameziane,1,3,-1
fernandez,3,1,1
😤😤😤😤,3,1,1
qanon,1,3,-1
la grosse,1,3,-1
t3,3,1,1
🤪,1,3,-1
kemi seba,3,1,1
́,1,3,-1
wazalendo,2,5,-1
espagne 🇪🇸,1,3,-1
.en,3,1,1
liot,3,1,1
agadir,3,1,1
jean-louis debré,3,7,-1
😃,3,1,1
mac do,2,5,-1
languedoc,1,3,-1
bsky,5,2,1
sénégalais,5,2,1
wwf,3,1,1
porsche,5,2,1
jean-dominique michel,1,3,-1
toyota,3,1,1
michel debré,1,3,-1
stalingrad,1,3,-1
la macronie,1,3,-1
émile zola,2,5,-1
tarn-et-garonne,3,1,1
miller,3,7,-1
sos méditerranée,1,3,-1
néo nazi,1,3,-1
sinner,3,1,1
goche,2,5,-1
mickey,7,3,1
⁦⁩,393,198,0.9854271989
chirac,31,62,-0.9772799235
google,99,50,0.9714308478
😂😂😂😂,34,17,0.9593580155
chinois,15,30,-0.9541963104
géorgie,28,14,0.9510903995
orban,11,22,-0.9385994553
rs,66,34,0.9368061735
🙂,9,18,-0.9259994186
la mecque,9,18,-0.9259994186
npa,35,18,0.921997488
floride,8,16,-0.9175378398
con,8,16,-0.9175378398
abraham,8,16,-0.9175378398
fed,16,8,0.9175378398
gud,16,8,0.9175378398
éric,8,16,-0.9175378398
wauquiez,48,25,0.914270126
jésus,98,185,-0.909802191
asiatiques,7,14,-0.9068905956
🤣🤣🤣🤣🤣🤣,7,14,-0.9068905956
🤮🤮,15,29,-0.9068905956
aubervilliers,14,7,0.9068905956
moscou,70,132,-0.905535316
facebook,57,30,0.9037846847
espagne,97,182,-0.9009899942
cambodge,6,12,-0.8930847961
kohlanta,6,12,-0.8930847961
🤔🤔,13,25,-0.8930847961
réac,12,6,0.8930847961
clermont-ferrand,25,13,0.8930847961
uk,6,12,-0.8930847961
arthur,25,13,0.8930847961
mauritanie,12,6,0.8930847961
croyez,6,12,-0.8930847961
yaël braun-pivet,6,12,-0.8930847961
voyou,12,6,0.8930847961
😥,12,6,0.8930847961
😉,103,192,-0.8920173191
staline,33,62,-0.8898170822
avignon,36,19,0.8875252707
le mec,36,19,0.8875252707
😅,23,12,0.8845227826
yvelines,12,23,-0.8845227826
lyon,342,185,0.8829059551
sébastien delogu,5,10,-0.8744691179
yt,5,10,-0.8744691179
mahorais,17,32,-0.8744691179
bamako,5,10,-0.8744691179
jean messiha,5,10,-0.8744691179
gilbert,5,10,-0.8744691179
bordelais,5,10,-0.8744691179
sciencespo,5,10,-0.8744691179
champagne,5,10,-0.8744691179
dupont,10,5,0.8744691179
auxerre,10,5,0.8744691179
pas-de-calais,10,5,0.8744691179
chicago,10,5,0.8744691179
gabriel,10,5,0.8744691179
céline,10,5,0.8744691179
tjrs,41,22,0.8687554667
russie,538,982,-0.8669061436
portugal,65,119,-0.8624964763
barnier,77,42,0.8591374642
maroc,239,132,0.8516081601
g.,8,4,0.8479969066
lady gaga,8,4,0.8479969066
benjamin netanyahu,8,4,0.8479969066
green,8,4,0.8479969066
nouvelle-calédonie,17,9,0.8479969066
marioupol,8,4,0.8479969066
chartres,26,14,0.8479969066
simone veil,8,4,0.8479969066
mark zuckerberg,8,4,0.8479969066
bruno lemaire,8,4,0.8479969066
ardèche,8,4,0.8479969066
zidane,8,4,0.8479969066
jean-luc melenchon,4,8,-0.8479969066
rfk,4,8,-0.8479969066
jules verne,4,8,-0.8479969066
pavel durov,4,8,-0.8479969066
friedrich merz,4,8,-0.8479969066
crit’,4,8,-0.8479969066
nina,4,8,-0.8479969066
😮,9,17,-0.8479969066
hauts-de-seine,4,8,-0.8479969066
dessein,4,8,-0.8479969066
u.e,4,8,-0.8479969066
palmade,4,8,-0.8479969066
benoît payan,4,8,-0.8479969066
mur,4,8,-0.8479969066
françois bayrou,103,57,0.842458723
kinshasa,18,33,-0.8395353278
mme,17,31,-0.8300749986
duhamel,8,15,-0.8300749986
guedj,15,8,0.8300749986
halloween,15,8,0.8300749986
ouin ouin,22,12,0.8231222379
norvège,22,12,0.8231222379
merci !,52,29,0.821029859
jean-marie le pen,50,89,-0.8194277544
france,2196,3871,-0.8175440829
palestine,520,295,0.8156861966
🤫,32,57,-0.8135868758
liban,129,73,0.8129144474
coluche,3,6,-0.8073549221
afrique subsaharienne,3,6,-0.8073549221
goldman,3,6,-0.8073549221
jb,3,6,-0.8073549221
anne lauvergeon,3,6,-0.8073549221
amf,3,6,-0.8073549221
révolution française,7,13,-0.8073549221
alexandre,11,20,-0.8073549221
haïtiens,3,6,-0.8073549221
🇬🇧,3,6,-0.8073549221
apl,7,13,-0.8073549221
pute,7,13,-0.8073549221
kherson,3,6,-0.8073549221
👇🏻,3,6,-0.8073549221
sfio,3,6,-0.8073549221
nièvre,3,6,-0.8073549221
hippocrate,7,13,-0.8073549221
jean castex,3,6,-0.8073549221
troisième guerre mondiale,3,6,-0.8073549221
belgrade,3,6,-0.8073549221
ca !,3,6,-0.8073549221
bonaparte,3,6,-0.8073549221
douai,3,6,-0.8073549221
jfk,3,6,-0.8073549221
renaud camus,3,6,-0.8073549221
franco,3,6,-0.8073549221
dupont moretti,3,6,-0.8073549221
napoléon iii,3,6,-0.8073549221
troyes,3,6,-0.8073549221
vilnius,3,6,-0.8073549221
laura,7,13,-0.8073549221
anne-laure,3,6,-0.8073549221
roosevelt,3,6,-0.8073549221
alain chabat,6,3,0.8073549221
arles,6,3,0.8073549221
🤦🏻‍♂️,6,3,0.8073549221
nagasaki,6,3,0.8073549221
einstein,13,7,0.8073549221
merci 🙏🏻,6,3,0.8073549221
f35,6,3,0.8073549221
ille-et-vilaine,6,3,0.8073549221
besancenot,6,3,0.8073549221
france 24,6,3,0.8073549221
georges,6,3,0.8073549221
jm lepen,6,3,0.8073549221
udi,6,3,0.8073549221
jacques chirac,13,7,0.8073549221
🌍,6,3,0.8073549221
lucie castets,6,3,0.8073549221
audi,6,3,0.8073549221
r&amp;d,6,3,0.8073549221
dominique de villepin,20,11,0.8073549221
du havre,20,11,0.8073549221
vénissieux,6,3,0.8073549221
📘,6,3,0.8073549221
rabat,6,3,0.8073549221
ouzbékistan,6,3,0.8073549221
tibet,6,3,0.8073549221
wait and see,6,3,0.8073549221
ça c’,6,3,0.8073549221
mr bayrou,6,3,0.8073549221
gôche,13,7,0.8073549221
g20,6,3,0.8073549221
waffen ss,6,3,0.8073549221
bonjour,130,74,0.804604311
belgique,82,143,-0.7948855701
ho,14,25,-0.7935491225
crétin,14,25,-0.7935491225
stade de france,25,14,0.7935491225
😤,36,63,-0.7905466344
philippe,36,63,-0.7905466344
valence,18,10,0.7884958948
milan,18,10,0.7884958948
algérie,290,501,-0.786668211
emmanuel,17,30,-0.7842713089
bah,362,210,0.7827265493
vichy,24,42,-0.7824085649
européens,70,121,-0.7809902181
bernard arnaud,11,6,0.7776075787
vincent,11,6,0.7776075787
dakar,11,6,0.7776075787
le france,6,11,-0.7776075787
bah ça,11,6,0.7776075787
maghrébins,20,35,-0.7776075787
rmc,11,6,0.7776075787
uber,6,11,-0.7776075787
doha,11,6,0.7776075787
rennais,6,11,-0.7776075787
m.,36,62,-0.7678265579
xavier bertrand,9,16,-0.7655347464
starlink,16,9,0.7655347464
harvard,16,9,0.7655347464
luxembourg,9,16,-0.7655347464
queen,16,9,0.7655347464
🆘,9,16,-0.7655347464
chemsex,21,12,0.7589919005
jean moulin,21,12,0.7589919005
covid,12,21,-0.7589919005
suisse,83,141,-0.7574296967
l’europe,196,332,-0.7573265476
bourgogne,15,26,-0.7548875022
grok,53,90,-0.752907138
bordeaux,127,75,0.7520724866
allemands,33,56,-0.7454271729
albert,2,4,-0.7369655942
nan nan,2,4,-0.7369655942
mouai,2,4,-0.7369655942
matthias,2,4,-0.7369655942
guerre d'algérie,9,5,0.7369655942
khamenei,4,2,0.7369655942
byd,2,4,-0.7369655942
prise de la bastille,4,2,0.7369655942
sm,2,4,-0.7369655942
agnès,2,4,-0.7369655942
clément méric,2,4,-0.7369655942
allez ça,4,2,0.7369655942
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,2,4,-0.7369655942
tou,2,4,-0.7369655942
jean paul lecoq,2,4,-0.7369655942
sarajevo,4,2,0.7369655942
mst,2,4,-0.7369655942
vrai,2,4,-0.7369655942
croix rouge,4,2,0.7369655942
gen,4,2,0.7369655942
graille,4,2,0.7369655942
karl zéro,2,4,-0.7369655942
plantu,4,2,0.7369655942
👃,4,2,0.7369655942
pdv,4,2,0.7369655942
mur de berlin,2,4,-0.7369655942
caf,47,79,-0.7369655942
brighton,2,4,-0.7369655942
🥰🥰🥰,9,5,0.7369655942
vdp,2,4,-0.7369655942
villepin,2,4,-0.7369655942
umps,2,4,-0.7369655942
william shakespeare,4,2,0.7369655942
honda,4,2,0.7369655942
saoudiens,2,4,-0.7369655942
stratpol,2,4,-0.7369655942
mc,9,5,0.7369655942
macrondemission,2,4,-0.7369655942
sahel,4,2,0.7369655942
marvel,4,2,0.7369655942
arafat,4,2,0.7369655942
mercure,4,2,0.7369655942
jrs,4,2,0.7369655942
louis vuitton,4,2,0.7369655942
mac kinsey,2,4,-0.7369655942
rtbf,2,4,-0.7369655942
👀,44,26,0.7369655942
quai d'orsay,4,2,0.7369655942
didier deschamps,4,2,0.7369655942
kamel,2,4,-0.7369655942
android,9,5,0.7369655942
biélorussie,2,4,-0.7369655942
lucie castet,4,2,0.7369655942
parisien,4,2,0.7369655942
laurent alexandre,2,4,-0.7369655942
reine de france,4,2,0.7369655942
croix-rouge,2,4,-0.7369655942
yessss,4,2,0.7369655942
ç,2,4,-0.7369655942
dassault,4,2,0.7369655942
apollon,4,2,0.7369655942
😉😘,5,9,-0.7369655942
nft,4,2,0.7369655942
vôtre,8,14,-0.7369655942
azov,4,2,0.7369655942
firefox,4,2,0.7369655942
daniel,11,19,-0.7369655942
emmanuel moulin,4,2,0.7369655942
machiavel,2,4,-0.7369655942
normandie,59,35,0.7369655942
paraguay,2,4,-0.7369655942
pisse,2,4,-0.7369655942
brookfield,2,4,-0.7369655942
volkswagen,4,2,0.7369655942
dz,4,2,0.7369655942
attentat de nice,2,4,-0.7369655942
alexeï navalny,2,4,-0.7369655942
france 🇨🇵,2,4,-0.7369655942
saadé,4,2,0.7369655942
📞,4,2,0.7369655942
vi,5,9,-0.7369655942
🍗,4,2,0.7369655942
states,4,2,0.7369655942
tibétains,2,4,-0.7369655942
soviétiques,5,9,-0.7369655942
kamil,2,4,-0.7369655942
loïc,4,2,0.7369655942
sylvain carrière,2,4,-0.7369655942
genève,20,34,-0.7369655942
tocard !,2,4,-0.7369655942
boris,4,2,0.7369655942
au mans,4,2,0.7369655942
ca c,5,9,-0.7369655942
sylvie vartan,4,2,0.7369655942
torah,14,8,0.7369655942
copenhague,4,2,0.7369655942
islamogauchisme,2,4,-0.7369655942
charles de courson,4,2,0.7369655942
paul vannier,4,2,0.7369655942
merci jean,2,4,-0.7369655942
abdelmadjid tebboune,4,2,0.7369655942
ok ça,4,2,0.7369655942
jdnews,5,9,-0.7369655942
🤷🏽‍♀️,4,2,0.7369655942
😁🤣,2,4,-0.7369655942
kouchner,2,4,-0.7369655942
jean-baptiste,4,2,0.7369655942
trappes,9,5,0.7369655942
fout,2,4,-0.7369655942
tkt,4,2,0.7369655942
marrakech,9,5,0.7369655942
al,2,4,-0.7369655942
laure,5,9,-0.7369655942
ricard,4,2,0.7369655942
états-unis 🇺🇸,2,4,-0.7369655942
stuttgart,4,2,0.7369655942
calme-toi,2,4,-0.7369655942
excellent,2,4,-0.7369655942
lisbonne,11,19,-0.7369655942
rassemblement,29,17,0.7369655942
anne,14,8,0.7369655942
gaza gazagenocide,4,2,0.7369655942
🍾,4,2,0.7369655942
bah voilà,4,2,0.7369655942
génocidés,4,2,0.7369655942
hpi,4,2,0.7369655942
hollywood,11,19,-0.7369655942
laos,4,2,0.7369655942
l’espagne,14,8,0.7369655942
albert einstein,2,4,-0.7369655942
bertrand cantat,2,4,-0.7369655942
raphaël arnault,14,24,-0.7369655942
namibie,2,4,-0.7369655942
la roue,2,4,-0.7369655942
walid,4,2,0.7369655942
conflit israélo-palestinien,2,4,-0.7369655942
henri,2,4,-0.7369655942
robert de niro,2,4,-0.7369655942
kerbrat,2,4,-0.7369655942
mr asselineau,2,4,-0.7369655942
irlandais,5,9,-0.7369655942
la marne,4,2,0.7369655942
pasteur,5,9,-0.7369655942
la somme,4,2,0.7369655942
motiondecensure,5,9,-0.7369655942
nasdaq,2,4,-0.7369655942
adams,2,4,-0.7369655942
hassan,8,14,-0.7369655942
spacex,9,5,0.7369655942
vaucluse,9,5,0.7369655942
saddam,2,4,-0.7369655942
la réunion,2,4,-0.7369655942
red,4,2,0.7369655942
msi,4,2,0.7369655942
guerre du vietnam,2,4,-0.7369655942
ukraine️,2,4,-0.7369655942
¡,4,2,0.7369655942
ile de france,2,4,-0.7369655942
damas,8,14,-0.7369655942
espagnols,5,9,-0.7369655942
bah tu,2,4,-0.7369655942
qq1,2,4,-0.7369655942
what else,2,4,-0.7369655942
mdrrrrrrr,4,2,0.7369655942
bachar al-assad,9,5,0.7369655942
bellatar,2,4,-0.7369655942
a69,4,2,0.7369655942
bravo !!!,2,4,-0.7369655942
sibérie,5,9,-0.7369655942
belges,5,9,-0.7369655942
app,4,2,0.7369655942
hossam shabat,4,2,0.7369655942
francs,8,14,-0.7369655942
iéna,4,2,0.7369655942
pokrovsk,2,4,-0.7369655942
ouais,29,17,0.7369655942
brice,4,2,0.7369655942
suisses,8,14,-0.7369655942
bravo m.,2,4,-0.7369655942
madame lepen,2,4,-0.7369655942
ep,4,2,0.7369655942
pascal boniface,2,4,-0.7369655942
tanzanie,4,2,0.7369655942
ml,4,2,0.7369655942
net,2,4,-0.7369655942
maison blanche,4,2,0.7369655942
fontainebleau,4,2,0.7369655942
witkoff,2,4,-0.7369655942
emily,4,2,0.7369655942
gazaoui,4,2,0.7369655942
mossad,5,9,-0.7369655942
❤️❤️,4,2,0.7369655942
gaëlle,4,2,0.7369655942
hong kong,4,2,0.7369655942
michou,4,2,0.7369655942
ben oui !,2,4,-0.7369655942
l'isère,4,2,0.7369655942
amine,9,5,0.7369655942
oulah,4,2,0.7369655942
gibraltar,4,2,0.7369655942
aurore bergé,9,5,0.7369655942
🏦,4,2,0.7369655942
hermès,9,5,0.7369655942
trump,920,1533,-0.7360254214
maghreb,45,75,-0.7243655574
anne hidalgo,37,22,0.7243655574
marie,19,32,-0.7224660245
haïti,16,27,-0.7198920808
marx,22,13,0.716207034
hélas,13,22,-0.716207034
😠,13,22,-0.716207034
charlie hebdo,27,45,-0.716207034
vas,22,13,0.716207034
le coran,52,86,-0.7150230413
tpmp,94,57,0.7118746132
ldh,10,17,-0.7104933828
chine,131,215,-0.7104933828
allemagne,213,347,-0.7014765094
marseille,420,258,0.7008681354
chat gpt,12,7,0.7004397181
nan,12,7,0.7004397181
😋,25,15,0.7004397181
quimper,12,7,0.7004397181
sansal,12,7,0.7004397181
😄,15,25,-0.7004397181
togo,15,25,-0.7004397181
birmanie,7,12,-0.7004397181
vienne,15,25,-0.7004397181
marcel,7,12,-0.7004397181
kosovo,7,12,-0.7004397181
svp,80,49,0.6959938131
aymeric caron,20,12,0.6918777046
jmlp,12,20,-0.6918777046
bravo monsieur,12,20,-0.6918777046
arabie saoudite,35,57,-0.6880559937
ouf !,7,4,0.6780719051
huxley,7,4,0.6780719051
narbonne,9,15,-0.6780719051
brigitte bardot,4,7,-0.6780719051
orne,4,7,-0.6780719051
sahara marocain,7,4,0.6780719051
dsk,4,7,-0.6780719051
csp+,7,4,0.6780719051
bulgarie,4,7,-0.6780719051
aymeric,7,4,0.6780719051
pme,7,4,0.6780719051
tanguy,4,7,-0.6780719051
godwin,7,4,0.6780719051
vive la france,4,7,-0.6780719051
kaboul,4,7,-0.6780719051
pérou,4,7,-0.6780719051
foucault,7,4,0.6780719051
tb,7,4,0.6780719051
😱😱,14,23,-0.6780719051
ete,7,4,0.6780719051
julian assange,7,4,0.6780719051
😂,4,7,-0.6780719051
&gt,15,9,0.6780719051
bravo mr,4,7,-0.6780719051
haute-savoie,4,7,-0.6780719051
luc,4,7,-0.6780719051
russes,14,23,-0.6780719051
xi jinping,7,4,0.6780719051
corrèze,4,7,-0.6780719051
loiret,4,7,-0.6780719051
clamart,4,7,-0.6780719051
💧,7,4,0.6780719051
thevenot,7,4,0.6780719051
coucou,7,4,0.6780719051
france 🇫🇷,19,31,-0.6780719051
dominique,4,7,-0.6780719051
google maps,7,4,0.6780719051
j.o,7,4,0.6780719051
🇫🇷,56,90,-0.674904626
japon,41,66,-0.6737717677
l'afrique,36,58,-0.6731896837
israël,1207,758,0.6704486639
zelinski,11,18,-0.6629650127
wow,37,23,0.6629650127
gérard,18,11,0.6629650127
hein,141,89,0.6578940232
syrie,128,202,-0.6541086618
fakenews,6,10,-0.6520766966
cedeao,10,6,0.6520766966
martin luther king,10,6,0.6520766966
colombie,10,6,0.6520766966
😰,13,21,-0.6520766966
nemesis,6,10,-0.6520766966
allô,13,21,-0.6520766966
lausanne,10,6,0.6520766966
rome,62,98,-0.6520766966
usa 🇺🇸,10,6,0.6520766966
hey,6,10,-0.6520766966
l europe,13,21,-0.6520766966
les juifs,20,32,-0.6520766966
yann,10,6,0.6520766966
francetv,10,6,0.6520766966
dd,10,6,0.6520766966
californie,13,21,-0.6520766966
washington,50,79,-0.6495027529
🇿,41,26,0.6374299206
nb,27,17,0.6374299206
soleil,13,8,0.6374299206
annecy,27,17,0.6374299206
gérard larcher,13,8,0.6374299206
maréchal pétain,8,13,-0.6374299206
👉,8,13,-0.6374299206
dubaï,8,13,-0.6374299206
csg,8,13,-0.6374299206
pen,61,39,0.6322682155
😮‍💨,47,30,0.6307661903
europe,541,838,-0.6303779591
coran,10,16,-0.6280312226
lvmh,33,21,0.6280312226
vip,16,10,0.6280312226
l’italie,12,19,-0.6214883767
pascal praud,31,48,-0.6147098441
europe 1,31,20,0.6076825772
marine tondelier,34,22,0.6057210609
corse,40,61,-0.5966443058
hollande,73,48,0.5947435215
la chine,99,150,-0.5945485496
alexis kholer,1,2,-0.5849625007
x3,1,2,-0.5849625007
🤡😂😂,1,2,-0.5849625007
zaporijjia,1,2,-0.5849625007
luchini,1,2,-0.5849625007
solveig,1,2,-0.5849625007
kurdistan,1,2,-0.5849625007
celine,1,2,-0.5849625007
mohican,1,2,-0.5849625007
cnda,1,2,-0.5849625007
laid,1,2,-0.5849625007
sedan,1,2,-0.5849625007
rebsamen,3,5,-0.5849625007
mm,1,2,-0.5849625007
️🙏,1,2,-0.5849625007
🐇,1,2,-0.5849625007
🤔🤪,1,2,-0.5849625007
laurel,1,2,-0.5849625007
manhattan,1,2,-0.5849625007
gare saint charles,1,2,-0.5849625007
ingérence,1,2,-0.5849625007
cnc,7,11,-0.5849625007
stadedefrance,1,2,-0.5849625007
adrien quatennens,1,2,-0.5849625007
dominique strauss-kahn,1,2,-0.5849625007
⚔️,3,5,-0.5849625007
🤣🤣👏,1,2,-0.5849625007
sv40,1,2,-0.5849625007
zakharova,1,2,-0.5849625007
francetravail,1,2,-0.5849625007
madame vautrin,1,2,-0.5849625007
🥰😘,1,2,-0.5849625007
sainte,1,2,-0.5849625007
groënland,1,2,-0.5849625007
beverly hills,1,2,-0.5849625007
😒😒,1,2,-0.5849625007
france 😅,1,2,-0.5849625007
t6,1,2,-0.5849625007
oise,3,5,-0.5849625007
bourgoin,1,2,-0.5849625007
jean noël,1,2,-0.5849625007
lyon-ii,1,2,-0.5849625007
pacte germano-soviétique,1,2,-0.5849625007
oxfam france,1,2,-0.5849625007
michelet,1,2,-0.5849625007
pustula la hyène,1,2,-0.5849625007
saint augustin,3,5,-0.5849625007
redif,1,2,-0.5849625007
ffl,1,2,-0.5849625007
polynésie française,1,2,-0.5849625007
solana,1,2,-0.5849625007
vernouillet,1,2,-0.5849625007
louis-ferdinand céline,1,2,-0.5849625007
😭😭😭,7,11,-0.5849625007
elizabeth borne,1,2,-0.5849625007
val d'oise,1,2,-0.5849625007
jung,1,2,-0.5849625007
coup de com,1,2,-0.5849625007
béatrice dalle,1,2,-0.5849625007
france inter !,1,2,-0.5849625007
cheap,1,2,-0.5849625007
🤦‍♀️,3,5,-0.5849625007
week end,1,2,-0.5849625007
&,1,2,-0.5849625007
🤮🤮🤮🤮💩,1,2,-0.5849625007
noé,1,2,-0.5849625007
dark vador,1,2,-0.5849625007
flingué,1,2,-0.5849625007
saoulez,1,2,-0.5849625007
fabien bouglé,1,2,-0.5849625007
prise d’otages,1,2,-0.5849625007
vidocq,1,2,-0.5849625007
nicolas meilhan,1,2,-0.5849625007
ben c',1,2,-0.5849625007
daniel balavoine,1,2,-0.5849625007
edwige diaz,1,2,-0.5849625007
recevez,1,2,-0.5849625007
sheol,1,2,-0.5849625007
fdi,1,2,-0.5849625007
eg,1,2,-0.5849625007
carl schmitt,1,2,-0.5849625007
asiats,1,2,-0.5849625007
français(es,1,2,-0.5849625007
yael,1,2,-0.5849625007
inshape,1,2,-0.5849625007
nadine,1,2,-0.5849625007
dictature européenne,1,2,-0.5849625007
campagne de france,1,2,-0.5849625007
thomson,1,2,-0.5849625007
arthaud,1,2,-0.5849625007
hein !,3,5,-0.5849625007
palais bourbon,5,8,-0.5849625007
😁😁😁,1,2,-0.5849625007
✊🏻,1,2,-0.5849625007
didier maïsto,1,2,-0.5849625007
klinefelter,1,2,-0.5849625007
forrest,1,2,-0.5849625007
cécile gensac,1,2,-0.5849625007
hubert védrine,1,2,-0.5849625007
charlotte,5,8,-0.5849625007
babyloniens,1,2,-0.5849625007
châteaubriant,1,2,-0.5849625007
franquin,1,2,-0.5849625007
louis de bourbon,1,2,-0.5849625007
scott bessent,1,2,-0.5849625007
françois ecalle,1,2,-0.5849625007
tim burton,1,2,-0.5849625007
boubacar,1,2,-0.5849625007
traité lisbonne,1,2,-0.5849625007
kiss,1,2,-0.5849625007
bernard kouchner,1,2,-0.5849625007
bugger,1,2,-0.5849625007
boycott,1,2,-0.5849625007
⛅,1,2,-0.5849625007
marc-antoine,1,2,-0.5849625007
jérôme fourquet,1,2,-0.5849625007
nousvoulonslapaix,1,2,-0.5849625007
marc vanguard,1,2,-0.5849625007
de france 🇫🇷,1,2,-0.5849625007
st brieuc,1,2,-0.5849625007
yannick neuder,1,2,-0.5849625007
html,1,2,-0.5849625007
