concept,PD,id_annot,created_at,content,label_1,label_2,label_3
ANTISEMITE,antisémite,2,2025-04-14 11:13:18+00:00,"je prends le pari que lfi est antisémite et n’a qu’une seule proposition, taxer les riches. et c’est un pauvre qui le dit.",anti-left,anti-left,anti-left
ANTISEMITE,antisémite,1,2025-04-19 17:42:47+00:00,merci la france d’avoir libéré les juifs du statut de sous-homme imposé par les arabes musulmans pas un juif n’était libre en terre islamique c’est un fait historique ça n’excuse en rien les persécutions antisémites en occident mais l’islam est fondamentalement anti juive,islamophobic,islamophobic,islamophobic
ANTISEMITE,antisémite,5,2025-04-19 20:39:54+00:00,"la haine antisémite de jean-luc mélenchon se répand. des dizaines de milliers de chrétiens ont participé en toute quiétude aux fêtes de pâques à jérusalem mais le patron de lfi relaie les vidéos mensongères des activistes palestiniens. la moindre bousculade où un perturbateur se fait écarter par la police est montée en épingle par des sites anti-israéliens. s'ajoute à cela le vocabulaire très codé de mélenchon. comme il ne peut pas dire ""le juif netanyahu"", il dit ""le suprémaciste"". en bonne langue de bois néo-stalinienne, ça veut dire: ""ce peuple maudit qui se croit une race supérieure"". tout le monde à compris.",anti-left,anti-left,anti-left
ANTISEMITE,antisémite,3,2025-04-22 00:50:55+00:00,"pas besoin qu'ils soient condamnés pour se rendre compte qu'ils hatisent la haine contre les juifs pour favoriser leur électorat musulman... des fascistes, antisémites, pro terroristes et anti-france de la pire espèce.. il faut vraiment être décérébré pour voter pour ces fous!",anti-left,anti-left,anti-left
ANTISEMITE,antisémite,104,2025-04-22 06:19:56+00:00,"non, les juifs n’ont pas amené les africains en esclavage en amérique. c’est un mythe antisémite apparu dans les années 90, contredit par tous les historiens sérieux. l’esclavage transatlantique a été organisé par les puissances coloniales européennes. ne vous laissez pas berner.",none of the above,none of the above,none of the above
ANTISEMITE,antisémite,9,2025-04-23 05:03:30+00:00,"et tes copains islamos terroristes antisémites, tu oublies leurs crimes espèce de same débile d antisémite. destitution et condamnation pour des ordures de votre espèce",islamophobic,islamophobic,islamophobic
ANTISEMITE,antisémite,7,2025-04-28 18:06:18+00:00,"hâte de vous voir disparaître, chaque personne qui meurt en france est un clou sur votre cercueil politique. même vos alliances antisémites avec mélenchon ne vous sauveront pas. l'histoire est un éternel recommencement et tous les couards qui se sont soumis au dictat des islamistes ont tous fini au même endroit.",anti-left,anti-left,anti-left
ANTISEMITE,antisémite,6,2025-05-01 04:08:32+00:00,"avec lui et son ami créateur de la jeune garde, nous avons l'exemple de ce que peur engendrer une gauche totalitaire, violentes et antisémite 🤬 cette milice doit être dissoute ! un député triple s ....😞",anti-left,anti-left,anti-left
ANTISEMITE,antisémite,4,2025-05-02 05:58:09+00:00,"et pourtant, au premier appel anti-rn, le ps dont vous faites partie va s'allier a lfi et a toute cette gauche de dégénérés antisémites qui ne jurent que par le conflit, le chaos, la violence et le mensonge parce que votre soif de pouvoir est plus important que vos convictions",anti-left,anti-left,anti-left
ANTISEMITE,antisémite,109,2025-05-05 08:53:26+00:00,"donc si le svastika précède historiquement la shoah, c'est ok de se trimballer avec des croix gammées ? vous pouvez trouver des excuses à chaque fois, vous n'êtes qu'une raclure antisémite.",none of the above,none of the above,none of the above
BIOLOGY,génétique,118,2024-08-02 06:46:49+00:00,"cette campagne de dénigrement envers une femme qui a un plus haut taux de testostérone qu'une autre est absolument dégueulasse. depuis quand on défine le sexe des personnes sur la base de leur gènes? imaginez-vous qu'on procède à éliminer les avantages génétiques dans le sport - où est-ce que ça se termine? et pourquoi ne s'interroge t-on pas sur toutes les femmes qui ont battu khelif par le passé? la vérité, c'est que cette attaque sur elle est pur sexisme, regorgeant de stéréotypes sur le fait que les vraies femmes sont fragiles et pleurent et si on les laisse faire de la boxe, optent pour des coups plus doux. non, non et non.",none of the above,none of the above,none of the above
BIOLOGY,génétique,16,2024-08-30 13:16:04+00:00,"on ne peut se résoudre à penser le réel à travers les processus historiques sans tenir compte de sa dimension génétique (processus de spéciation), continuellement à l’œuvre.",xenophobic,xenophobic,xenophobic
BIOLOGY,biologique,115,2024-12-07 06:48:04+00:00,bonjour. la musique interagit avec nos systèmes biologiques. choisir son confort musical est essentiel pour l'accord à notre fréquence de résonance de notre adn.,none of the above,none of the above,none of the above
BIOLOGY,génétique,18,2024-12-17 11:47:47+00:00,je soutiens poutine? l ignorance chez certain n'est pas un défaut de culture ou de pauvreté mais un manquement d éducation génétique-parental-déficient suite à des bactéries stockés trop longtemps dans les intestins chez certaines descendances européennes ; fais de beaux rêves,xenophobic,none of the above,none of the above
BIOLOGY,biologique,111,2025-01-10 12:12:44+00:00,"8/ dr. robert sapolsky, neuroscientifique : « l’identité de genre est un spectre complexe influencé par des facteurs biologiques, psychologiques et sociaux. la considérer comme une maladie mentale est une simplification dangereuse et scientifiquement inexacte. »",none of the above,none of the above,none of the above
BIOLOGY,biologique,113,2025-03-13 07:35:51+00:00,attends t’es vraiment en train de promouvoir la pureté biologique avec une théorie sortie de tes fesses ? vous êtes en roue libre,none of the above,none of the above,xenophobic
BIOLOGY,génétique,119,2025-03-14 08:09:44+00:00,"quel rapport entre la langue et groupes génétiques ? en 1789 moins de 10% de la population du royaume parle français. suivant votre logique que dois-je en conclure ? enfin n’hésitez à nous partager vos fameuses études génomiques, instruisez nous, merci.",none of the above,none of the above,xenophobic
BIOLOGY,biologique,116,2025-03-27 17:15:38+00:00,"la génétique moderne a démontré que les variations génétiques au sein des groupes humains sont beaucoup plus importantes que les variations entre les groupes, rendant ainsi obsolète la notion de ""races"" biologiques distinctes. certains croient en la science d’autres en dieux.",none of the above,none of the above,none of the above
BIOLOGY,biologique,117,2025-04-14 16:52:34+00:00,"racisme biologique j'entends, thèse complètement démembrée par la science",none of the above,none of the above,none of the above
BIOLOGY,biologique,114,2025-04-16 18:40:49+00:00,"🇬🇧 ceci peut jurisprudence en 🇪🇺 la définition légale d'une femme repose sur le sexe biologique, tranche la cour suprême britannique",none of the above,none of the above,none of the above
BIOLOGY,génétique,120,2025-04-19 20:16:49+00:00,"l’argument « biologique »est une posture légitimant la hiérarchisation, la normativité et l’autoritarisme de l’ordre social défendu bec et ongles par l’extrême droit le sexe n’est pas une donnée purement biologique, le genre une construction sociale. « c’est dangereux » en quoi ?",none of the above,none of the above,none of the above
BIOLOGY,biologique,11,2025-04-20 13:18:35+00:00,"les deux ne sont pas incompatibles. on peut être sincèrement indigné et avoir des réflexes racistes en même temps. connaitre les caractéristiques d’un être vivant a toute son importance dans la compréhension du monde biologique et des interactions entre les espèces, les races...",xenophobic,xenophobic,xenophobic
BIOLOGY,génétique,19,2025-04-23 06:59:58+00:00,il y a plusieurs races d'ailleurs un test génétique permet d'identifier la race d'un individu pas son peuple..,xenophobic,xenophobic,xenophobic
BIOLOGY,génétique,20,2025-04-27 00:01:06+00:00,faux. nous avons la continuité génétique la plus stable au monde depuis 2 millénaires...,xenophobic,xenophobic,none of the above
BIOLOGY,génétique,15,2025-04-27 14:38:41+00:00,"toujours les mêmes à foutre la merde, comme d'hab. c'est génétique, c'est pas possible autrement. tous finis à la pisse d'ivrogne.",xenophobic,xenophobic,xenophobic
BIOLOGY,biologique,13,2025-04-28 12:00:58+00:00,"surdélinquance des extra-européens : causes sociales ou biologiques ? (inné/acquis, nature/culture)",xenophobic,xenophobic,xenophobic
BIOLOGY,génétique,14,2025-04-28 14:29:08+00:00,"ça s'appelle l'identité, le patrimoine génétique. c'est le risque quand on migre d'un continent à l'autre et qu'on souhaite conserver ses valeurs culturelles. les papiers ne feront jamais l'identité.",xenophobic,xenophobic,xenophobic
BIOLOGY,biologique,112,2025-04-29 13:02:57+00:00,"pourquoi aime-t-on inconditionnellement ses enfants ? la réponse d'héloïse junier, psychologue “l’attachement entre un parent et son enfant n’est pas seulement une construction sociale ou affective, il est aussi biologique""",none of the above,none of the above,none of the above
BIOLOGY,génétique,17,2025-04-29 13:38:10+00:00,des siècles d'héritages génétiques donnant des arbres généalogiques en forme de cercle. et après vous vous demandez pourquoi 80% de leurs gosses ont une tête à savoir le goût des couleurs..,xenophobic,none of the above,xenophobic
BIOLOGY,biologique,12,2025-04-30 13:21:40+00:00,"les blancs endurent depuis des décennies une dégradation massive de leur socle biologique. face à la médiocrité moderne, il est temps de réfléchir à un eugénisme naturel loin des folies du transhumanisme. rédigé par arthur",xenophobic,xenophobic,xenophobic
CIVILISATION,civilisation,124,2024-04-21 23:22:17+00:00,ton histoire de qi cest de la merde et une excuse pour ton racisme . l'intelligence ne peut pas se mesurer comme vous le faites. une société qui met ses vieux dans des mouroirs ne peux pas donner des leçons de civilisation a d'autres.,none of the above,none of the above,none of the above
CIVILISATION,civilisation,121,2024-08-03 20:39:11+00:00,la tolérance est la plus grande valuer d’une civilisation. le reste importe peu,none of the above,none of the above,none of the above
CIVILISATION,civilisation,122,2024-08-14 16:30:50+00:00,"ça n'a pas trop de sens de définir rigoureusement une culture, une identité ou une civilisation puisque ça évolue constamment et ça comporte des éléments qui peuvent être communs à d'autres espaces",none of the above,none of the above,none of the above
CIVILISATION,civilisation,28,2024-09-15 06:07:49+00:00,a la différence près que ces envahisseurs ne viennent pas pour bosser et construire quoique ce soit...! si ce n'est semer le chaos et la haine chez les autres! ils n'ont rien à nous apporter et nous n'avons plus rien à donner à ces civilisations barbares qui n'ont jamais évolué!,xenophobic,xenophobic,xenophobic
CIVILISATION,civilisation,129,2024-09-28 20:00:36+00:00,non c’est parce que toute grande civilisation est vouée à disparaître. c’est cyclique. nous n’y échapperons pas.,none of the above,none of the above,none of the above
CIVILISATION,civilisationnel,23,2024-10-12 17:45:08+00:00,"merci de cette réponse pleine de courtoisie ce qui est rare sur ce réseau. mais je te parle en terme civilisationnel il ne sont pas d'origine européenne ni même français de souche,se sont des apatrides, reconnaît tu au-moins ceci?",xenophobic,xenophobic,xenophobic
CIVILISATION,civilisationnel,127,2024-11-18 11:56:09+00:00,naomi klein : “la gauche n’a pas pris la mesure du projet civilisationnel de la droite radicale”,none of the above,none of the above,anti-left
CIVILISATION,civilisation,130,2025-02-04 10:25:37+00:00,"je ne fais que rappeler une évidence. on devrait y réfléchir, au nom de l'économie réelle : celle qui vise à limiter la consommation de matériaux et d'énergie, pour faire durer la civilisation le plus longtemps possible. mais ...",none of the above,none of the above,none of the above
CIVILISATION,civilisation,126,2025-03-01 08:14:00+00:00,vous connaissez la phrase d'einstein sur les etats-unis : ils sont passés du stade primitif à la décadence sans passer par la civilisation.,none of the above,none of the above,none of the above
CIVILISATION,civilisation,26,2025-03-17 06:32:13+00:00,voilà ce qu'ils appellent des chances pour la france moi j'appelle cela de la racaille mais le.mot qui leur va le mieux c'est des babouins. ils sont incompatibles avec la civilisation qu'ils retournent dans leur dessert a dos de chameau ...,xenophobic,islamophobic,xenophobic
CIVILISATION,civilisation,25,2025-04-08 11:36:22+00:00,c'est une horreur que beaucoup de jeunes filles et garçons subissent. nous pouvons constater que le système valide ces gestes comme la petite fille de 4 ans ou encore l'oncle accusé et l'appel le relâche. ces gens doivent regagner leur pays de 🖤 loin de la civilisation occidentale,xenophobic,xenophobic,xenophobic
CIVILISATION,civilisation,128,2025-04-11 18:15:01+00:00,je crois que de plus en plus de gens se rendent compte que de délaisser la religion à la base de ta civilisation laisse plus de place aux autres religions.,none of the above,xenophobic,xenophobic
CIVILISATION,civilisation,123,2025-04-13 10:22:33+00:00,"tu dis que les arabes ne savent pas gagner de guerre, mais ils ont apporté la médecine, l’algèbre, l’astronomie et une civilisation qui t’a éclairé pendant que l’europe était dans l’obscurité. toi t’apportes quoi, à part du racisme sur x ?",none of the above,none of the above,none of the above
CIVILISATION,civilisation,125,2025-04-13 10:39:02+00:00,"pourquoi vouloir toujours opposer les civilisations ? médecine, sciences, architecture, arts… chaque peuple a contribué à l’humanité. la vraie grandeur, c’est pas de rabaisser les autres, c’est de reconnaître ce que chacun a apporté. y’a pas de guerre des civilisations, sauf dans l’esprit de ceux qui vivent dans la haine.",none of the above,none of the above,none of the above
CIVILISATION,civilisation,22,2025-04-13 18:45:34+00:00,"j’étais à marseille ce week-end. joyau de notre civilisation. mais autour du vieux-port, une question me hante : où sont les marseillais ? en 2025, on y parle arabe, on y vend halal, barbes et voiles dominent… le changement est frappant. certains disent : grand remplacement",xenophobic,islamophobic,xenophobic
CIVILISATION,civilisation,29,2025-04-25 12:46:03+00:00,"ces pauvres enfants sont devenus les jouets de ces deux cinglés. la civilisation occidentale est en plein chaos moral. seul espoir de retournement, trump.",xenophobic,xenophobic,none of the above
CIVILISATION,civilisation,27,2025-04-26 13:00:03+00:00,une autre civilisation qui n’à rien à faire en france !!!!!,xenophobic,xenophobic,xenophobic
CIVILISATION,civilisation,30,2025-04-28 08:10:35+00:00,"les africains et les maghrébins justifient la médiocrité totale de leur civilisation par la colonisation. un asiatique arrive 1h en avance au travail, un africain arrive avec 2h de retard et ne voit pas ou est le problème. c'est une question de culture et de civilisation.",xenophobic,xenophobic,xenophobic
CIVILISATION,civilisationnel,24,2025-05-02 07:43:36+00:00,"vous faites de la philosophie de comptoir, le problème est clairement culturel et civilisationnel, des tas d’individus n’ont rien à faire en france car ils n’en connaissent pas les codes de bienséance, de vivre ensemble et de culture à respecter et promouvoir.",xenophobic,xenophobic,xenophobic
CIVILISATION,civilisation,21,2025-05-12 07:06:34+00:00,"notre civilisation n’est pas compatible avec eux, de près ou de loin. restez dans le désert et dormez dans des tantes et arrêtez de vouloir vivre avec nous quand vos pseudos lois de « liberté » sont anti démocratique et archaïques.",xenophobic,islamophobic,xenophobic
DECLINE,déclin,37,2024-01-17 15:53:57+00:00,mais c’est quoi ça. sur 16 personnes « y a même pas la parité « 2 jeunes filles blanche. le pays en déclin.,xenophobic,xenophobic,xenophobic
DECLINE,déclin,139,2024-03-29 08:13:37+00:00,"rappelle sur que nous défendons une immigration de travail en europe, car le continent est en pénurie de main d'oeuvre et en déclin démographique. même a renoncé à son ""blocus maritime"" face à cette réalité.",none of the above,none of the above,none of the above
DECLINE,déclin,135,2024-07-03 12:04:58+00:00,"""entre aveuglement et incompétence, le rassemblement national choisit le camp du déni et risque d’entraîner les pme françaises dans une spirale de déclin économique, social et environnemental.""",none of the above,none of the above,none of the above
DECLINE,décadence,36,2024-07-30 22:35:35+00:00,on pourra dire ce que l'on veut mais moi je ne mélange pas les enfants avec ces gens-là non je ne donnerai pas je ne mélangerai pas les enfants avec la décadence mais les pseudo acteur s ont bien reconnu il s'agissait de la sainte chaîne j'aurais peut-être lire et écouter la presse la radio et encore des chaînes info on a plus beaucoup mais à qui on peut faire confiance je ne mets pas le hashtag le sujet m'énerve,xenophobic,none of the above,none of the above
DECLINE,décadence,131,2024-08-08 13:01:38+00:00,"passez à la mosquée un jour, voyez par vous même. demandez à des frères de vous faire visiter dites leur que vous souhaitez vous repentir. que le diable vous a trompé. vous changerez d'avis. laissez votre vie de décadence derrière vous avant qu'il ne soit trop tard",none of the above,none of the above,none of the above
DECLINE,déclin,137,2024-08-24 08:40:43+00:00,"j'ai le sentiment que le pessimisme ambiant de la société française est en partie dû à la tendance croissante des politiques à être dans la surenchère de catastrophisme (immigration, écologie, déclin du pays). les mécanismes de peur étant les meilleurs leviers électoraux. nfp",none of the above,none of the above,none of the above
DECLINE,déclin,136,2024-08-25 12:40:03+00:00,il a une amnésie le pauvre il a peut être oublié que la france avait une dette envers l’algérie et la colonisée pour éviter de la rembourser par crainte d’une nouvelle révolution à bonne entendeur ne déformer pas l’histoire et ne soyez pas frustrée si votre pays est en déclin,none of the above,none of the above,none of the above
DECLINE,déclin,134,2024-08-29 11:33:32+00:00,"le problème n'est pas seulement que macron n'a pas de relation solide avec les diplomates, c'est surtout qu'il est foncièrement incompétent tant en géopolitique qu'en diplomatie. le déclin de la diplomatie française accéléré sous hollande est devenu un effondrement sous macron",none of the above,none of the above,none of the above
DECLINE,déclin,38,2024-11-14 11:58:49+00:00,"quel plaisir chaque soir de voir des gens intelligents qui vous disent que vous n’êtes pas seul ... hé oui des gens osent parler du déclin de la france et de ses maux ! (pour moi il n'y en n'a qu'un l'islam ) oui aux migrants , pas du continent africains !",xenophobic,islamophobic,islamophobic
DECLINE,décadence,132,2024-11-30 12:59:16+00:00,je dirais plutôt la décadence du monde dans toute sa splendeur. comment on montre à nos filles que c’est plus simple de montrer son corps que de travailler …,none of the above,none of the above,none of the above
DECLINE,déclin,140,2024-12-30 17:20:25+00:00,"immigration, wokisme, déclin de l’occident… voici quelques unes des obsessions des médias d’extrême-droite sur youtube comme tv libertés, frontières, omerta ou encore va plus. a visionné des heures de contenu pour vous préparer ce zapping.",none of the above,none of the above,none of the above
DECLINE,décadence,35,2025-02-25 12:52:45+00:00,"il y a un problème de décadence et de laisser aller en plus de l'immigration, du collège unique et de l'éducation nationale. les gens n'ont plus d'idéal ni de convictions. pour eux tout se vaut.",xenophobic,xenophobic,xenophobic
DECLINE,décadence,34,2025-03-10 11:50:36+00:00,la décadence de la france qui soutien les barbares islamistes...ils méritent la cour pénale pour haute trahison du peuple français...,islamophobic,islamophobic,islamophobic
DECLINE,déclin,40,2025-04-11 19:39:38+00:00,"ils achevent la civilisation européenne pour laisser la place à une main d'œuvre moins chère mais toujours consommatrice, qui mènera au déclin definitif du continent européen !",xenophobic,xenophobic,xenophobic
DECLINE,décadence,32,2025-04-13 18:34:57+00:00,ce soir aucun programme culturel en ce dimanche des rameaux contrairement à nos voisins musulmans en période de ramadan et d’aid.quelle décadence …,islamophobic,islamophobic,islamophobic
DECLINE,déclin,138,2025-04-15 19:01:02+00:00,incompétents ??? tu te trompe ils savent très bien ce qu'ils font . le déclin de la france est planifié organisé et réalisé volontairement. quand t'as compris ça tout s'éclaire ... lis le programme de davos,none of the above,none of the above,none of the above
DECLINE,décadence,133,2025-04-16 16:57:14+00:00,"et tu t’étonnes qu’une femme choisisse le voile pour se préserver, quand partout en france, des faits divers montrent des types droguants leur femme pour qu’elles se fassent violer en soirée « libertine ». tu veux parler de progrès, alors que t’as confondu avec la décadence. le voile ne rend pas une femme meilleure qu’une autre, mais il a au moins le mérite de poser une limite dans un monde où les limites ont disparu. et surtout, ce n’est pas toi ni ton avis qui décide ce qu’est la dignité pour une femme.",none of the above,none of the above,none of the above
DECLINE,déclin,39,2025-04-29 08:24:54+00:00,"déjà ""black, blanc, beurre"" était un signal de déclin.",xenophobic,xenophobic,xenophobic
DECLINE,déclin,31,2025-04-30 05:00:09+00:00,"la hongrie dit non au déclin démographique et oui à la natalité ! exonération fiscale pour les mères, aides aux familles : une leçon pour la france. stop à l’immigration de masse, vive nos enfants ! lisez notre article : ✝️🇫🇷 natalité famillesnombreuses",xenophobic,xenophobic,xenophobic
DECLINE,décadence,33,2025-04-30 09:55:08+00:00,"pendant que l’islam s’installe, la décadence européenne continue :",islamophobic,islamophobic,islamophobic
DYSTOPIA,dystopie,141,2024-01-25 18:49:52+00:00,"nourrir le monde est essentiel. alors, pourquoi nos agriculteurs peinent-ils à subsister? paradoxale dystopie ? agriculture agriculteursencolere",none of the above,none of the above,anti-EU
DYSTOPIA,orwell,147,2024-02-08 09:37:18+00:00,"comment s’approprier les mots de ses contradicteurs (en l’occurrence souveraineté alimentaire c’est et les altermondialistes) pour en tordre le sens. « la guerre, c'est la paix, la liberté c'est l'esclavage, l'ignorance c'est la force. » orwell 1984",none of the above,none of the above,none of the above
DYSTOPIA,orwell,146,2024-03-19 17:21:56+00:00,"ben oui puisque c'est pour faire des suv, il est normal de se revendiquer de l'écologie! orwell nous avait prévenu...",none of the above,none of the above,none of the above
DYSTOPIA,dystopie,144,2024-05-30 12:05:01+00:00,"la honte, la honte, la honte, la nausée, le vomi, ça n'est pas que tf1 mais tout le système médiatique qui normalise depuis 8 mois un crime contre l'humanité à l'encontre de toute une population, on vit dans une dystopie c'est pas possible",none of the above,none of the above,none of the above
DYSTOPIA,orwell,45,2024-06-28 09:41:01+00:00,"des milliers d’ « antifascistes » applaudissent au tabassage de 10 jeunes femmes munies de pancartes. la patronne de la cgt applaudit la foule lyncheuse pour avoir « repoussé cette agression fasciste ». sans rire. à mille contre dix, ces « résistants » n’ont même pas eu peur. c’est beau comme du orwell: la lâcheté c’est le courage, la chasse en meute, l’héroïsme, le sectarisme, l’ouverture à l’autre. goliath se la joue david. soutien aux filles de némésis.",anti-left,anti-left,anti-left
DYSTOPIA,dystopie,143,2024-09-27 08:12:56+00:00,"lui, c'est magnifique, on vit dans une authentique dystopie depuis le mois de juillet et les premiers mots qu'il a, c'est pour taper lfi... pas besoin d'ennemi quand t'as un ami comme ça",none of the above,anti-left,none of the above
DYSTOPIA,orwellien,48,2024-11-25 16:45:36+00:00,"ah, j’avais manqué cet épisode où cro-magnon exigeait un changement d’état civil gratuit entre deux fresques rupestres. mais que dire : les modes passent, les civilisations restent. la mienne – helléno-romano-judéo-chrétienne – qui a sculpté le parthénon, érigé notre-dame et écrit la divine comédie, a forgé l’ordre, la beauté et la science. pendant que le wokisme s’acharne à déconstruire tout ce qui élève l’homme au-dessus de ses caprices, vous défendez une idéologie qui confond compassion et chaos, vérité et émotions. or, une société qui cède à ce mensonge orwellien signe sa propre capitulation. nous ne plierons pas !",anti-left,anti-left,anti-left
DYSTOPIA,orwellienne,150,2025-01-06 19:35:17+00:00,"tout à fait vrai, ils divisent et manipulent le peuple avec un narratif de guerre de civilisation, sous couvert d’une politique anti-etablishment, ils inversent les valeurs, ils décrédibilisent les intellectuels et changent l’histoire… c’est une dynamique orwellienne",none of the above,none of the above,none of the above
DYSTOPIA,orwell,44,2025-01-08 07:35:11+00:00,"* zfe qui interdisent la circulation en ville aux plus modestes, personne * soutien aux agriculteurs qui nous nourrissent, personne. les deux minutes de la haine d'orwell illustrées par la gôche dans toute sa laideur.",anti-left,anti-left,anti-left
DYSTOPIA,orwell,145,2025-02-19 20:55:13+00:00,"cette chaîne est ce groupe n’a jamais était financer par l’argent public mais par le privée, quand les patrons crée des chaînes pour propager leur propre idéologie sociale et politique c’est de la manipulation de masse, vous n’avez jamais lus george orwell « 1984 ». vous devais.",none of the above,none of the above,none of the above
DYSTOPIA,orwellien,46,2025-03-04 19:21:31+00:00,"l'europe c'est la liberté, la prospérité et la paix qu'ils disaient. alors qu'en réalité c'est l'asservissement, la ruine et la guerre. en somme, c'est orwellien !",anti-EU,anti-EU,anti-EU
DYSTOPIA,dystopie,142,2025-03-15 15:41:47+00:00,"le post originel parle des gens souffrant de covid long. donc la dystopie qu'on a tous vécu et que vous dénoncez, à juste titre, fut hors sujet sur ce post du ministère. comprenez que les gens avec covid long sont invisibilisés h24, et c'est ça qu'on dénonce.",none of the above,none of the above,none of the above
DYSTOPIA,orwellien,50,2025-03-21 17:27:43+00:00,"l'ue montre son vrai visage. la paix, c'est la guerre. la démocratie, c'est la dictature. la prospérité, c'est la pauvreté. la liberté d'expression, c'est la censure. l'europe des nations, c'est un état fédéral. un monde orwellien où régne la corruption généralisée!!!",anti-EU,anti-EU,anti-EU
DYSTOPIA,orwellien,49,2025-03-22 06:08:52+00:00,"je viens de relire ce livre....les similitudes avec "" nos dirigeants"", "" le gouvernement"" sont justes parfaites !! on est bel et bien dans un monde orwellien !! quoi que dans la vraie vie le cochon est intelligent et affectueux !!",none of the above,anti-EU,none of the above
DYSTOPIA,orwellien,149,2025-04-01 06:57:04+00:00,"c’est sympa , tous ces grands démocrates qui soutiennent lepen : poutine orban trump . ce moment orwellien ou ce sont eux qui te parlent de l’état de droit 😂",none of the above,none of the above,anti-EU
DYSTOPIA,orwellien,47,2025-04-01 13:20:20+00:00,"quand des juges militent contre le vote du peuple, ce n’est plus la justice : c’est un état de droit orwellien. on parle de liberté, mais on punit les mauvais choix.",anti-left,none of the above,none of the above
DYSTOPIA,orwell,41,2025-04-14 08:09:00+00:00,"scandale éducationnationale : comme dans ""1984"" d’orwell, il faut endoctriner les enfants avec les dogmes du parti et donc enseigner la sexualité et la théorie du genre dès le plus jeune âge ⤵️",anti-left,anti-left,anti-left
DYSTOPIA,dystopie,42,2025-04-17 20:02:25+00:00,"pour cela, il faudrait réinventer le 1er mai. loin des « syndicats » subventionnés et des partis de « gauche » qui se sont mis au service de la dystopie voulue par la haute finance !",anti-left,anti-left,anti-left
DYSTOPIA,orwell,148,2025-04-26 17:13:45+00:00,"avec le retour de trump au pouvoir, la revanche d’orwell sur huxley est éclatante",none of the above,none of the above,none of the above
